date,MOD_STB,Hami_CDN,MOD_FIFAFlow,HAMI_WEBGA
2018-06-14-08:25,1689,42,133696,1989
2018-06-14-08:30,1622,40,133696,1989
2018-06-14-08:35,1621,39,133696,1989
2018-06-14-08:40,1623,42,133696,1989
2018-06-14-08:45,1620,45,133696,1989
2018-06-14-08:50,1620,46,133696,1989
2018-06-14-08:55,1619,41,133696,1989
2018-06-14-09:00,1607,43,133696,2144
2018-06-14-09:05,1609,44,133696,2144
2018-06-14-09:10,1610,43,133696,2144
2018-06-14-09:15,1563,43,133696,2144
2018-06-14-09:20,1565,43,133696,2144
2018-06-14-09:25,1568,51,133696,2144
2018-06-14-09:30,1539,50,133696,2144
2018-06-14-09:35,1542,53,133696,2144
2018-06-14-09:40,1538,55,133696,2144
2018-06-14-09:45,1557,55,133696,2144
2018-06-14-09:50,1558,56,133696,2144
2018-06-14-09:55,1558,53,133696,2144
2018-06-14-10:00,1531,58,133696,2620
2018-06-14-10:05,1533,52,133696,2620
2018-06-14-10:10,1531,47,133696,2620
2018-06-14-10:15,1483,48,133696,2620
2018-06-14-10:20,1483,56,133696,2620
2018-06-14-10:25,1486,55,133696,2620
2018-06-14-10:30,1467,51,133696,2620
2018-06-14-10:35,1467,52,133696,2620
2018-06-14-10:40,1467,61,133696,2620
2018-06-14-10:45,1499,61,133696,2620
2018-06-14-10:50,1500,62,133696,2620
2018-06-14-10:55,1501,63,133696,2620
2018-06-14-11:00,1438,67,133696,2857
2018-06-14-11:05,1439,63,133696,2857
2018-06-14-11:10,1441,63,133696,2857
2018-06-14-11:15,891,66,133696,2857
2018-06-14-11:20,888,64,133696,2857
2018-06-14-11:25,890,63,133696,2857
2018-06-14-11:30,1359,60,133696,2857
2018-06-14-11:35,1366,59,133696,2857
2018-06-14-11:40,1363,65,133696,2857
2018-06-14-11:45,1437,71,133696,2857
2018-06-14-11:50,1440,75,133696,2857
2018-06-14-11:55,1435,83,133696,2857
2018-06-14-12:00,1425,86,133696,4232
2018-06-14-12:05,1427,80,133696,4232
2018-06-14-12:10,1427,87,133696,4232
2018-06-14-12:15,1401,85,133696,4232
2018-06-14-12:20,1400,85,133696,4232
2018-06-14-12:25,1394,89,133696,4232
2018-06-14-12:30,1359,76,133696,4232
2018-06-14-12:35,1365,82,133696,4232
2018-06-14-12:40,1362,84,133696,4232
2018-06-14-12:45,1358,77,133696,4232
2018-06-14-12:50,1360,85,133696,4232
2018-06-14-12:55,1358,85,133696,4232
2018-06-14-13:00,1377,83,133696,4733
2018-06-14-13:05,1383,93,133696,4733
2018-06-14-13:10,1380,94,133696,4733
2018-06-14-13:15,1407,94,133696,4733
2018-06-14-13:20,1407,91,133696,4733
2018-06-14-13:25,1410,95,133696,4733
2018-06-14-13:30,1448,95,133696,4733
2018-06-14-13:35,1447,95,133696,4733
2018-06-14-13:40,1446,93,133696,4733
2018-06-14-13:45,1511,102,133696,4733
2018-06-14-13:50,1514,100,133696,4733
2018-06-14-13:55,1516,104,133696,4733
2018-06-14-14:00,1480,87,133696,4278
2018-06-14-14:05,1481,84,133696,4278
2018-06-14-14:10,1481,91,133696,4278
2018-06-14-14:15,1503,91,133696,4278
2018-06-14-14:20,1502,92,133696,4278
